1312200,Ahmedabad,29-05-2022,HH Pandya,"Narendra Modi Stadium, Ahmedabad",0,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,Wickets,7,N,NA,CB Gaffaney,Nitin Menon
1312199,Ahmedabad,27-05-2022,JC Buttler,"Narendra Modi Stadium, Ahmedabad",0,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Wickets,7,N,NA,CB Gaffaney,Nitin Menon
1312198,Kolkata,25-05-2022,RM Patidar,"Eden Gardens, Kolkata",0,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Royal Challengers Bangalore,Runs,14,N,NA,J Madanagopal,MA Gough
1312197,Kolkata,24-05-2022,DA Miller,"Eden Gardens, Kolkata",0,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Wickets,7,N,NA,BNJ Oxenford,VK Sharma
1304116,Mumbai,22-05-2022,Harpreet Brar,"Wankhede Stadium, Mumbai",0,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Punjab Kings,Wickets,5,N,NA,AK Chaudhary,NA Patwardhan
1304115,Mumbai,21-05-2022,JJ Bumrah,"Wankhede Stadium, Mumbai",0,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,5,N,NA,Nitin Menon,Tapan Sharma
1304114,Mumbai,20-05-2022,R Ashwin,"Brabourne Stadium, Mumbai",0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Wickets,5,N,NA,CB Gaffaney,NA Patwardhan
1304113,Mumbai,19-05-2022,V Kohli,"Wankhede Stadium, Mumbai",0,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,Royal Challengers Bangalore,Wickets,8,N,NA,KN Ananthapadmanabhan,GR Sadashiv Iyer
1304112,Navi Mumbai,18-05-2022,Q de Kock,"Dr DY Patil Sports Academy, Mumbai",0,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,Lucknow Super Giants,Runs,2,N,NA,R Pandit,YC Barde
1304111,Mumbai,17-05-2022,RA Tripathi,"Wankhede Stadium, Mumbai",0,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,Runs,3,N,NA,CB Gaffaney,N Pandit
